conversation_id,account_id,user_id,created_at,resolved_at,channel,issue_type,resolved_by,ai_assist_used_flag,escalated_flag,resolution_minutes,csat_score
conv_00007532,acct_00000157,usr_00003519,2025-03-09 15:29:10,2025-03-09 16:28:10,web,api,human,0,0,59,3.5
conv_00007579,acct_00000157,usr_00003524,2025-03-11 09:02:06,2025-03-11 09:29:06,email,reporting,human,0,0,27,3.1
conv_00007609,acct_00000157,usr_00003535,2025-03-11 11:01:59,2025-03-11 12:34:59,web,workflow,human,0,1,93,2.1
conv_00007556,acct_00000157,usr_00003528,2025-03-12 12:39:31,2025-03-12 13:32:31,email,workflow,human,0,0,53,3.4
conv_00007530,acct_00000157,usr_00003537,2025-03-12 17:00:10,2025-03-12 18:05:10,web,bug,ai,1,0,65,3.5
conv_00007588,acct_00000157,usr_00003490,2025-03-13 07:13:15,2025-03-13 07:59:15,chat,api,ai_plus_human,1,0,46,3.7
conv_00007606,acct_00000157,usr_00003544,2025-03-13 15:12:14,2025-03-13 15:38:14,web,permissions,ai,1,0,26,4.2
conv_00007599,acct_00000157,usr_00003537,2025-03-14 11:22:03,2025-03-14 11:55:03,chat,setup,human,0,1,33,2.4
conv_00007581,acct_00000157,usr_00003501,2025-03-16 17:29:07,2025-03-16 18:34:07,email,billing,ai_plus_human,1,1,65,2.6
conv_00007547,acct_00000157,usr_00003519,2025-03-16 18:33:00,2025-03-16 19:43:00,chat,workflow,human,0,1,70,1.9
conv_00007537,acct_00000157,usr_00003503,2025-03-19 14:31:42,2025-03-19 15:26:42,email,reporting,human,0,1,55,2.8
conv_00007571,acct_00000157,usr_00003530,2025-03-20 15:55:54,2025-03-20 16:22:54,chat,workflow,ai,1,0,27,3.1
conv_00007616,acct_00000157,usr_00003534,2025-03-21 17:39:22,2025-03-21 18:26:22,chat,workflow,human,0,0,47,4.0
conv_00007555,acct_00000157,usr_00003494,2025-03-23 11:53:47,2025-03-23 12:50:47,chat,bug,ai,1,0,57,3.2
conv_00007570,acct_00000157,usr_00003546,2025-03-24 15:15:57,2025-03-24 15:38:57,web,workflow,ai,1,0,23,4.3
conv_00007617,acct_00000157,usr_00003500,2025-03-24 21:36:46,2025-03-24 22:28:46,chat,api,ai_plus_human,1,0,52,3.4
conv_00007614,acct_00000157,usr_00003521,2025-03-25 15:43:47,2025-03-25 16:26:47,chat,api,ai,1,0,43,4.8
conv_00007604,acct_00000157,usr_00003522,2025-03-25 16:36:10,2025-03-25 17:13:10,chat,billing,ai,1,0,37,3.2
conv_00007560,acct_00000157,usr_00003540,2025-03-25 20:44:53,2025-03-25 21:14:53,chat,permissions,human,0,0,30,3.1
conv_00007534,acct_00000157,usr_00003540,2025-03-27 17:37:03,2025-03-27 19:15:03,web,api,human,0,1,98,2.5
conv_00007591,acct_00000157,usr_00003523,2025-03-29 17:51:44,2025-03-29 18:26:44,email,billing,ai_plus_human,1,1,35,2.5
conv_00007574,acct_00000157,usr_00003544,2025-03-29 20:14:25,2025-03-29 21:04:25,chat,billing,ai_plus_human,1,1,50,2.6
conv_00007619,acct_00000157,usr_00003505,2025-03-30 11:41:41,2025-03-30 14:05:41,chat,bug,human,0,1,144,2.4
conv_00007542,acct_00000157,usr_00003542,2025-03-30 19:15:15,2025-03-30 22:23:15,email,bug,human,0,1,188,1.9
conv_00007561,acct_00000157,usr_00003504,2025-03-31 18:43:18,2025-03-31 19:33:18,email,bug,ai_plus_human,1,0,50,4.0
conv_00007553,acct_00000157,usr_00003528,2025-04-01 12:17:38,2025-04-01 12:56:38,web,workflow,ai,1,0,39,4.0
conv_00007563,acct_00000157,usr_00003495,2025-04-02 15:38:39,2025-04-02 16:09:39,chat,billing,ai,1,0,31,4.0
conv_00007608,acct_00000157,usr_00003489,2025-04-04 19:15:34,2025-04-04 19:40:34,email,permissions,human,0,0,25,3.4
conv_00007586,acct_00000157,usr_00003544,2025-04-04 19:22:02,2025-04-04 21:12:02,chat,bug,human,0,0,110,3.2
conv_00007601,acct_00000157,usr_00003505,2025-04-06 09:24:03,2025-04-06 10:11:03,email,workflow,human,0,0,47,3.5
conv_00007541,acct_00000157,usr_00003501,2025-04-06 09:56:10,2025-04-06 10:22:10,chat,setup,human,0,0,26,3.4
conv_00007543,acct_00000157,usr_00003507,2025-04-10 07:08:43,2025-04-10 07:38:43,chat,billing,human,0,0,30,3.5
conv_00007564,acct_00000157,usr_00003545,2025-04-11 10:56:42,2025-04-11 12:12:42,web,workflow,ai_plus_human,1,1,76,3.2
conv_00007568,acct_00000157,usr_00003514,2025-04-11 14:55:28,2025-04-11 16:23:28,chat,bug,human,0,0,88,3.2
conv_00007538,acct_00000157,usr_00003529,2025-04-11 21:23:24,2025-04-11 22:28:24,chat,api,human,0,0,65,3.2
conv_00007572,acct_00000157,usr_00003530,2025-04-12 11:24:25,2025-04-12 11:38:25,web,reporting,ai,1,0,14,3.3
conv_00007531,acct_00000157,usr_00003525,2025-04-13 07:24:02,2025-04-13 09:17:02,email,bug,human,0,0,113,3.2
conv_00007535,acct_00000157,usr_00003504,2025-04-13 09:22:17,2025-04-13 09:50:17,email,billing,human,0,0,28,3.8
conv_00007578,acct_00000157,usr_00003545,2025-04-14 07:20:26,2025-04-14 07:58:26,chat,workflow,human,0,0,38,3.6
conv_00007565,acct_00000157,usr_00003543,2025-04-14 08:34:37,2025-04-14 08:49:37,email,permissions,ai_plus_human,1,0,15,3.5
conv_00007540,acct_00000157,usr_00003510,2025-04-16 08:48:46,2025-04-16 09:44:46,email,api,human,0,0,56,3.6
conv_00007598,acct_00000157,usr_00003519,2025-04-16 10:49:35,2025-04-16 11:32:35,chat,permissions,human,0,0,43,3.4
conv_00007620,acct_00000157,usr_00003524,2025-04-19 07:41:25,2025-04-19 08:10:25,email,setup,human,0,0,29,4.0
conv_00007585,acct_00000157,usr_00003523,2025-04-19 11:03:35,2025-04-19 11:56:35,email,api,ai_plus_human,1,0,53,3.8
conv_00007587,acct_00000157,usr_00003545,2025-04-21 13:10:53,2025-04-21 13:48:53,web,reporting,ai,1,0,38,3.4
conv_00007549,acct_00000157,usr_00003524,2025-04-21 14:50:24,2025-04-21 15:19:24,email,permissions,ai,1,0,29,3.8
conv_00007612,acct_00000157,usr_00003494,2025-04-21 20:13:31,2025-04-21 21:08:31,web,bug,ai_plus_human,1,0,55,3.1
conv_00007582,acct_00000157,usr_00003505,2025-04-23 14:01:11,2025-04-23 16:30:11,chat,bug,human,0,1,149,2.6
conv_00007558,acct_00000157,usr_00003517,2025-04-23 21:59:52,2025-04-23 23:08:52,chat,bug,ai,1,0,69,3.8
conv_00007569,acct_00000157,usr_00003537,2025-04-26 13:25:39,2025-04-26 13:42:39,chat,permissions,ai,1,0,17,3.4
conv_00007567,acct_00000157,usr_00003494,2025-04-26 18:28:40,2025-04-26 18:52:40,chat,reporting,ai_plus_human,1,0,24,4.1
conv_00007638,acct_00000158,usr_00003600,2025-01-05 17:05:41,2025-01-05 17:33:41,chat,reporting,ai,1,0,28,3.3
conv_00007659,acct_00000158,usr_00003563,2025-01-06 17:07:23,2025-01-06 17:49:23,chat,workflow,human,0,0,42,3.7
conv_00007694,acct_00000158,usr_00003600,2025-01-06 20:38:14,2025-01-06 20:51:14,email,setup,human,0,0,13,3.4
conv_00007704,acct_00000158,usr_00003594,2025-01-08 16:29:00,2025-01-08 17:10:00,email,permissions,human,0,0,41,3.5
conv_00007648,acct_00000158,usr_00003600,2025-01-09 10:32:05,2025-01-09 11:16:05,chat,workflow,human,0,0,44,3.6
conv_00007640,acct_00000158,usr_00003563,2025-01-09 19:32:54,2025-01-09 19:47:54,chat,permissions,ai,1,0,15,3.2
conv_00007645,acct_00000158,usr_00003562,2025-01-11 16:52:00,2025-01-11 18:25:00,chat,bug,ai_plus_human,1,1,93,2.7
conv_00007705,acct_00000158,usr_00003593,2025-01-12 17:29:28,2025-01-12 17:54:28,chat,billing,ai_plus_human,1,0,25,4.3
conv_00007710,acct_00000158,usr_00003571,2025-01-13 07:31:39,2025-01-13 08:19:39,email,bug,ai,1,0,48,3.9
conv_00007646,acct_00000158,usr_00003570,2025-01-13 14:25:25,2025-01-13 14:50:25,chat,setup,human,0,0,25,3.1
conv_00007653,acct_00000158,usr_00003563,2025-01-15 08:27:00,2025-01-15 08:52:00,email,workflow,ai_plus_human,1,0,25,3.3
conv_00007669,acct_00000158,usr_00003582,2025-01-15 11:29:59,2025-01-15 15:06:59,chat,bug,human,0,1,217,2.8
conv_00007715,acct_00000158,usr_00003555,2025-01-16 08:58:42,2025-01-16 09:33:42,chat,workflow,ai,1,0,35,3.9
conv_00007688,acct_00000158,usr_00003599,2025-01-16 09:20:33,2025-01-16 09:46:33,email,billing,ai,1,0,26,3.4
conv_00007720,acct_00000158,usr_00003579,2025-01-16 18:13:35,2025-01-16 18:36:35,web,setup,human,0,0,23,2.6
conv_00007681,acct_00000158,usr_00003605,2025-01-18 10:38:10,2025-01-18 11:45:10,chat,reporting,human,0,1,67,2.0
conv_00007655,acct_00000158,usr_00003600,2025-01-18 16:34:22,2025-01-18 16:59:22,email,permissions,human,0,0,25,3.1
conv_00007698,acct_00000158,usr_00003564,2025-01-21 08:43:31,2025-01-21 09:26:31,chat,permissions,human,0,0,43,3.5
conv_00007685,acct_00000158,usr_00003557,2025-01-22 19:34:22,2025-01-22 20:01:22,email,workflow,ai_plus_human,1,0,27,3.5
conv_00007644,acct_00000158,usr_00003556,2025-01-25 12:15:19,2025-01-25 12:32:19,web,setup,human,0,1,17,2.8
conv_00007711,acct_00000158,usr_00003606,2025-01-25 14:02:59,2025-01-25 14:40:59,chat,permissions,human,0,0,38,3.7
conv_00007665,acct_00000158,usr_00003593,2025-01-26 07:25:17,2025-01-26 08:05:17,chat,workflow,ai,1,0,40,3.4
conv_00007633,acct_00000158,usr_00003589,2025-01-26 09:58:21,2025-01-26 11:30:21,chat,bug,human,0,0,92,3.0
conv_00007712,acct_00000158,usr_00003562,2025-01-26 14:35:50,2025-01-26 15:14:50,chat,api,ai_plus_human,1,0,39,3.7
conv_00007626,acct_00000158,usr_00003597,2025-01-29 20:28:48,2025-01-29 20:50:48,email,permissions,human,0,0,22,3.2
conv_00007702,acct_00000158,usr_00003575,2025-01-31 13:48:28,2025-01-31 15:22:28,email,api,human,0,1,94,2.4
conv_00007714,acct_00000158,usr_00003608,2025-02-01 12:51:08,2025-02-01 13:24:08,web,setup,human,0,0,33,3.3
conv_00007674,acct_00000158,usr_00003569,2025-02-03 13:27:36,2025-02-03 14:26:36,chat,api,human,0,0,59,3.3
conv_00007696,acct_00000158,usr_00003583,2025-02-05 09:51:30,2025-02-05 10:23:30,email,billing,human,0,0,32,3.7
conv_00007700,acct_00000158,usr_00003570,2025-02-05 10:58:38,2025-02-05 12:34:38,email,bug,human,0,0,96,3.5
conv_00007656,acct_00000158,usr_00003586,2025-02-06 11:04:51,2025-02-06 11:46:51,chat,billing,human,0,0,42,3.3
conv_00007678,acct_00000158,usr_00003554,2025-02-06 14:41:09,2025-02-06 16:00:09,email,bug,human,0,0,79,3.9
conv_00007673,acct_00000158,usr_00003565,2025-02-06 20:30:43,2025-02-06 21:10:43,email,reporting,human,0,0,40,3.5
conv_00007652,acct_00000158,usr_00003567,2025-02-07 08:57:52,2025-02-07 09:53:52,web,billing,human,0,0,56,2.9
conv_00007677,acct_00000158,usr_00003590,2025-02-07 15:18:46,2025-02-07 16:03:46,chat,workflow,human,0,0,45,3.7
conv_00007623,acct_00000158,usr_00003577,2025-02-07 21:04:12,2025-02-07 23:16:12,chat,bug,human,0,0,132,3.2
conv_00007622,acct_00000158,usr_00003603,2025-02-08 14:32:23,2025-02-08 15:09:23,chat,reporting,human,0,0,37,4.1
conv_00007641,acct_00000158,usr_00003585,2025-02-17 12:41:44,2025-02-17 13:11:44,web,workflow,human,0,0,30,4.1
conv_00007662,acct_00000158,usr_00003607,2025-02-19 20:56:12,2025-02-19 21:50:12,email,api,ai,1,0,54,3.6
conv_00007658,acct_00000158,usr_00003595,2025-02-21 21:37:26,2025-02-21 22:23:26,web,bug,ai,1,0,46,3.4
conv_00007695,acct_00000158,usr_00003547,2025-02-22 07:17:28,2025-02-22 07:43:28,chat,workflow,ai,1,0,26,4.1
conv_00007676,acct_00000158,usr_00003585,2025-02-22 10:26:54,2025-02-22 11:54:54,chat,bug,human,0,0,88,3.4
conv_00007691,acct_00000158,usr_00003581,2025-02-22 10:27:51,2025-02-22 11:22:51,chat,workflow,human,0,0,55,3.4
conv_00007666,acct_00000158,usr_00003561,2025-02-22 20:44:07,2025-02-22 21:36:07,email,setup,human,0,1,52,2.8
conv_00007667,acct_00000158,usr_00003556,2025-02-27 11:17:16,2025-02-27 11:53:16,email,permissions,human,0,0,36,3.6
conv_00007636,acct_00000158,usr_00003570,2025-02-27 14:26:32,2025-02-27 15:56:32,chat,bug,human,0,0,90,3.7
conv_00007634,acct_00000158,usr_00003575,2025-02-27 17:42:22,2025-02-27 18:19:22,web,api,ai_plus_human,1,0,37,3.5
conv_00007723,acct_00000158,usr_00003578,2025-02-28 12:34:06,2025-02-28 13:19:06,web,api,ai,1,0,45,3.5
conv_00007629,acct_00000158,usr_00003593,2025-02-28 21:55:31,2025-02-28 23:41:31,chat,api,human,0,1,106,2.1
conv_00007672,acct_00000158,usr_00003573,2025-03-01 16:56:53,2025-03-01 17:19:53,chat,reporting,ai_plus_human,1,0,23,3.8
conv_00007631,acct_00000158,usr_00003606,2025-03-02 14:54:54,2025-03-02 15:38:54,email,billing,human,0,0,44,3.5
conv_00007717,acct_00000158,usr_00003575,2025-03-03 19:55:49,2025-03-03 20:11:49,web,billing,ai,1,0,16,3.5
conv_00007703,acct_00000158,usr_00003558,2025-03-07 07:42:48,2025-03-07 07:55:48,chat,setup,human,0,0,13,3.4
conv_00007719,acct_00000158,usr_00003566,2025-03-08 20:44:46,2025-03-08 22:20:46,chat,bug,ai_plus_human,1,1,96,2.2
conv_00007693,acct_00000158,usr_00003603,2025-03-09 07:07:35,2025-03-09 08:08:35,email,bug,human,0,0,61,3.7
conv_00007684,acct_00000158,usr_00003577,2025-03-09 13:47:22,2025-03-09 14:47:22,chat,bug,human,0,0,60,3.6
conv_00007680,acct_00000158,usr_00003601,2025-03-10 07:03:12,2025-03-10 07:43:12,web,permissions,human,0,0,40,3.7
conv_00007706,acct_00000158,usr_00003582,2025-03-11 15:09:49,2025-03-11 15:28:49,chat,permissions,ai,1,0,19,3.7
conv_00007647,acct_00000158,usr_00003548,2025-03-11 19:37:37,2025-03-11 20:12:37,email,setup,human,0,0,35,3.8
conv_00007713,acct_00000158,usr_00003588,2025-03-12 12:42:05,2025-03-12 12:58:05,web,setup,ai_plus_human,1,0,16,3.8
conv_00007664,acct_00000158,usr_00003587,2025-03-12 14:07:08,2025-03-12 14:17:08,email,setup,ai,1,0,10,3.6
conv_00007643,acct_00000158,usr_00003601,2025-03-12 21:29:29,2025-03-12 22:12:29,chat,setup,human,0,1,43,2.6
conv_00007635,acct_00000158,usr_00003577,2025-03-16 07:21:44,2025-03-16 07:36:44,chat,setup,human,0,0,15,3.5
conv_00007639,acct_00000158,usr_00003590,2025-03-17 09:17:27,2025-03-17 09:46:27,chat,setup,human,0,0,29,2.9
conv_00007707,acct_00000158,usr_00003606,2025-03-17 11:31:19,2025-03-17 12:12:19,chat,billing,human,0,1,41,2.0
conv_00007663,acct_00000158,usr_00003563,2025-03-18 21:56:55,2025-03-18 22:07:55,web,setup,ai,1,0,11,4.4
conv_00007687,acct_00000158,usr_00003547,2025-03-19 07:34:20,2025-03-19 08:39:20,web,reporting,human,0,1,65,2.4
conv_00007682,acct_00000158,usr_00003578,2025-03-19 10:15:14,2025-03-19 11:42:14,chat,bug,human,0,0,87,3.2
conv_00007689,acct_00000158,usr_00003556,2025-03-21 07:43:29,2025-03-21 08:24:29,web,setup,human,0,0,41,3.9
conv_00007628,acct_00000158,usr_00003599,2025-03-23 08:50:30,2025-03-23 09:12:30,web,permissions,human,0,0,22,2.9
conv_00007660,acct_00000158,usr_00003567,2025-03-23 12:47:15,2025-03-23 13:06:15,chat,setup,human,0,0,19,3.5
conv_00007630,acct_00000158,usr_00003601,2025-03-24 07:20:50,2025-03-24 09:05:50,email,api,ai_plus_human,1,1,105,2.9
conv_00007708,acct_00000158,usr_00003596,2025-03-24 12:50:33,2025-03-24 13:42:33,email,bug,ai,1,0,52,3.6
conv_00007657,acct_00000158,usr_00003600,2025-03-24 20:00:08,2025-03-24 20:59:08,web,api,human,0,0,59,3.1
conv_00007699,acct_00000158,usr_00003558,2025-03-25 12:43:42,2025-03-25 13:01:42,email,workflow,ai,1,0,18,2.9
conv_00007724,acct_00000158,usr_00003559,2025-03-28 11:29:41,2025-03-28 11:56:41,chat,reporting,ai,1,0,27,3.7
conv_00007718,acct_00000158,usr_00003573,2025-03-29 17:27:56,2025-03-29 18:20:56,chat,billing,human,0,1,53,2.7
conv_00007671,acct_00000158,usr_00003593,2025-03-30 07:16:14,2025-03-30 08:18:14,web,billing,human,0,1,62,2.7
conv_00007679,acct_00000158,usr_00003601,2025-03-30 13:09:19,2025-03-30 13:40:19,web,workflow,ai,1,0,31,3.8
conv_00007675,acct_00000158,usr_00003553,2025-03-31 17:13:01,2025-03-31 17:49:01,chat,workflow,human,0,0,36,2.4
conv_00007722,acct_00000158,usr_00003594,2025-04-01 19:34:14,2025-04-01 20:11:14,chat,permissions,human,0,0,37,3.0
conv_00007637,acct_00000158,usr_00003590,2025-04-01 19:34:30,2025-04-01 20:45:30,email,bug,human,0,0,71,3.1
conv_00007650,acct_00000158,usr_00003569,2025-04-04 16:47:02,2025-04-04 17:21:02,email,permissions,human,0,0,34,2.7
conv_00007661,acct_00000158,usr_00003547,2025-04-05 14:06:43,2025-04-05 17:37:43,web,bug,human,0,1,211,2.1
conv_00007624,acct_00000158,usr_00003568,2025-04-06 17:08:34,2025-04-06 17:55:34,web,workflow,ai,1,0,47,4.0
conv_00007625,acct_00000158,usr_00003579,2025-04-06 19:38:48,2025-04-06 20:13:48,web,workflow,human,0,0,35,3.2
conv_00007686,acct_00000158,usr_00003591,2025-04-09 19:32:39,2025-04-09 19:40:39,chat,setup,human,0,0,8,3.8
conv_00007692,acct_00000158,usr_00003575,2025-04-11 08:39:15,2025-04-11 09:30:15,chat,api,ai_plus_human,1,0,51,3.7
conv_00007649,acct_00000158,usr_00003558,2025-04-11 14:53:24,2025-04-11 15:43:24,chat,bug,ai,1,0,50,3.6
conv_00007701,acct_00000158,usr_00003582,2025-04-13 21:27:36,2025-04-13 22:02:36,email,workflow,ai,1,0,35,3.5
conv_00007697,acct_00000158,usr_00003548,2025-04-14 19:45:26,2025-04-14 19:57:26,web,setup,human,0,0,12,3.7
conv_00007654,acct_00000158,usr_00003596,2025-04-17 08:33:07,2025-04-17 08:56:07,email,workflow,ai,1,0,23,3.5
conv_00007651,acct_00000158,usr_00003556,2025-04-17 13:06:55,2025-04-17 13:47:55,email,workflow,human,0,0,41,3.5
conv_00007668,acct_00000158,usr_00003573,2025-04-19 14:05:04,2025-04-19 14:46:04,chat,reporting,human,0,0,41,3.6
conv_00007642,acct_00000158,usr_00003608,2025-04-19 16:28:29,2025-04-19 16:56:29,chat,permissions,human,0,0,28,3.7
conv_00007690,acct_00000158,usr_00003597,2025-04-21 14:48:55,2025-04-21 15:12:55,email,permissions,ai_plus_human,1,0,24,3.3
conv_00007627,acct_00000158,usr_00003553,2025-04-21 15:46:43,2025-04-21 16:10:43,chat,setup,ai,1,0,24,3.3
conv_00007709,acct_00000158,usr_00003599,2025-04-21 16:25:49,2025-04-21 16:53:49,chat,workflow,ai,1,0,28,3.9
conv_00007670,acct_00000158,usr_00003562,2025-04-21 18:50:44,2025-04-21 19:09:44,email,workflow,ai_plus_human,1,0,19,4.0
conv_00007621,acct_00000158,usr_00003567,2025-04-23 07:10:53,2025-04-23 07:43:53,chat,billing,human,0,0,33,3.0
conv_00007632,acct_00000158,usr_00003603,2025-04-23 08:36:05,2025-04-23 09:36:05,web,bug,ai,1,0,60,3.4
conv_00007721,acct_00000158,usr_00003563,2025-04-25 16:19:33,2025-04-25 16:25:33,email,setup,human,0,0,6,3.8
conv_00007716,acct_00000158,usr_00003596,2025-04-28 09:56:55,2025-04-28 10:05:55,chat,setup,ai,1,0,9,3.8
conv_00007683,acct_00000158,usr_00003558,2025-04-28 21:32:02,2025-04-28 22:15:02,email,workflow,human,0,0,43,3.7
conv_00007758,acct_00000159,usr_00003612,2025-01-24 14:56:40,2025-01-24 15:27:40,email,workflow,human,0,0,31,3.3
conv_00007775,acct_00000159,usr_00003618,2025-01-27 21:38:57,2025-01-27 21:50:57,chat,permissions,ai_plus_human,1,0,12,3.8
conv_00007753,acct_00000159,usr_00003618,2025-01-27 21:42:28,2025-01-27 22:09:28,chat,permissions,ai,1,0,27,3.7
conv_00007729,acct_00000159,usr_00003611,2025-01-28 16:55:11,2025-01-28 17:53:11,email,bug,ai,1,0,58,3.5
conv_00007755,acct_00000159,usr_00003613,2025-02-06 09:05:19,2025-02-06 10:23:19,chat,bug,ai_plus_human,1,0,78,4.2
conv_00007752,acct_00000159,usr_00003619,2025-02-06 09:36:36,2025-02-06 10:08:36,email,reporting,ai_plus_human,1,0,32,3.6
conv_00007774,acct_00000159,usr_00003619,2025-02-06 15:55:26,2025-02-06 16:42:26,chat,billing,human,0,0,47,3.5
conv_00007760,acct_00000159,usr_00003611,2025-02-06 16:32:50,2025-02-06 17:19:50,email,reporting,human,0,0,47,3.3
conv_00007743,acct_00000159,usr_00003612,2025-02-07 13:14:21,2025-02-07 14:10:21,chat,bug,ai,1,0,56,4.1
conv_00007771,acct_00000159,usr_00003620,2025-02-08 07:45:06,2025-02-08 09:57:06,email,api,human,0,1,132,2.0
conv_00007765,acct_00000159,usr_00003613,2025-02-10 13:07:49,2025-02-10 14:27:49,web,bug,human,0,0,80,3.0
conv_00007747,acct_00000159,usr_00003617,2025-02-12 09:10:30,2025-02-12 09:24:30,chat,permissions,human,0,0,14,3.8
conv_00007772,acct_00000159,usr_00003612,2025-02-15 09:52:06,2025-02-15 10:40:06,chat,api,ai,1,0,48,3.3
conv_00007780,acct_00000159,usr_00003615,2025-02-17 11:17:46,2025-02-17 13:13:46,web,bug,human,0,0,116,3.5
conv_00007746,acct_00000159,usr_00003611,2025-02-21 09:43:40,2025-02-21 10:33:40,web,permissions,human,0,0,50,3.6
conv_00007768,acct_00000159,usr_00003619,2025-02-22 10:28:07,2025-02-22 11:30:07,chat,api,ai_plus_human,1,0,62,3.5
conv_00007736,acct_00000159,usr_00003621,2025-02-23 07:58:13,2025-02-23 08:44:13,chat,api,human,0,0,46,3.7
conv_00007740,acct_00000159,usr_00003611,2025-02-23 16:20:15,2025-02-23 18:02:15,chat,bug,human,0,0,102,3.1
conv_00007761,acct_00000159,usr_00003611,2025-02-24 18:54:12,2025-02-24 19:51:12,chat,billing,human,0,0,57,3.6
conv_00007733,acct_00000159,usr_00003620,2025-02-26 13:31:01,2025-02-26 15:00:01,web,bug,human,0,0,89,3.0
conv_00007745,acct_00000159,usr_00003611,2025-02-26 21:20:41,2025-02-26 21:47:41,email,workflow,ai,1,0,27,3.9
conv_00007754,acct_00000159,usr_00003621,2025-03-03 18:11:55,2025-03-03 19:21:55,email,bug,ai,1,0,70,4.1
conv_00007776,acct_00000159,usr_00003618,2025-03-03 21:33:50,2025-03-03 22:11:50,web,reporting,human,0,0,38,3.1
conv_00007762,acct_00000159,usr_00003618,2025-03-10 16:35:45,2025-03-10 17:37:45,chat,bug,human,0,0,62,3.5
conv_00007726,acct_00000159,usr_00003610,2025-03-13 07:32:20,2025-03-13 08:03:20,email,workflow,ai,1,0,31,3.7
conv_00007737,acct_00000159,usr_00003610,2025-03-13 21:34:36,2025-03-13 22:01:36,email,setup,ai,1,0,27,3.7
conv_00007731,acct_00000159,usr_00003615,2025-03-15 15:54:31,2025-03-15 17:32:31,email,billing,human,0,1,98,2.7
conv_00007773,acct_00000159,usr_00003622,2025-03-19 20:08:43,2025-03-19 21:12:43,chat,api,human,0,0,64,3.8
conv_00007763,acct_00000159,usr_00003609,2025-03-20 19:27:50,2025-03-20 19:46:50,email,setup,human,0,0,19,3.6
conv_00007767,acct_00000159,usr_00003617,2025-03-22 07:18:08,2025-03-22 08:13:08,web,api,human,0,0,55,3.4
conv_00007734,acct_00000159,usr_00003617,2025-03-22 09:46:13,2025-03-22 10:38:13,chat,reporting,human,0,0,52,3.0
conv_00007727,acct_00000159,usr_00003609,2025-03-25 10:28:40,2025-03-25 11:23:40,email,workflow,human,0,0,55,3.1
conv_00007749,acct_00000159,usr_00003617,2025-03-25 16:18:31,2025-03-25 17:42:31,chat,bug,human,0,0,84,3.4
conv_00007769,acct_00000159,usr_00003612,2025-03-26 08:06:08,2025-03-26 08:27:08,chat,permissions,ai,1,0,21,3.8
conv_00007777,acct_00000159,usr_00003617,2025-03-26 18:06:36,2025-03-26 18:27:36,chat,permissions,ai,1,0,21,4.0
conv_00007764,acct_00000159,usr_00003622,2025-03-27 11:36:07,2025-03-27 12:33:07,chat,workflow,human,0,0,57,3.5
conv_00007744,acct_00000159,usr_00003609,2025-03-27 21:44:04,2025-03-27 22:17:04,chat,permissions,human,0,0,33,3.5
conv_00007770,acct_00000159,usr_00003622,2025-03-28 10:52:41,2025-03-28 11:46:41,chat,workflow,human,0,0,54,3.2
conv_00007732,acct_00000159,usr_00003614,2025-03-28 15:23:16,2025-03-28 15:52:16,chat,permissions,human,0,0,29,3.3
conv_00007739,acct_00000159,usr_00003612,2025-03-31 07:12:12,2025-03-31 07:47:12,web,permissions,human,0,0,35,3.4
conv_00007757,acct_00000159,usr_00003616,2025-04-05 21:28:29,2025-04-05 22:09:29,chat,reporting,ai,1,0,41,3.7
conv_00007756,acct_00000159,usr_00003617,2025-04-06 15:43:55,2025-04-06 17:26:55,chat,bug,human,0,0,103,3.5
conv_00007759,acct_00000159,usr_00003618,2025-04-06 21:19:12,2025-04-06 22:00:12,chat,reporting,human,0,0,41,3.1
conv_00007750,acct_00000159,usr_00003617,2025-04-07 16:38:09,2025-04-07 18:09:09,email,bug,human,0,0,91,3.7
conv_00007735,acct_00000159,usr_00003612,2025-04-13 19:27:24,2025-04-13 19:49:24,chat,workflow,ai,1,0,22,3.5
conv_00007730,acct_00000159,usr_00003614,2025-04-16 08:52:47,2025-04-16 09:18:47,email,bug,ai,1,0,26,3.6
conv_00007751,acct_00000159,usr_00003610,2025-04-16 18:59:58,2025-04-16 19:31:58,email,api,ai,1,0,32,3.3
conv_00007738,acct_00000159,usr_00003611,2025-04-21 10:23:29,2025-04-21 11:13:29,chat,api,ai,1,0,50,3.9
conv_00007779,acct_00000159,usr_00003609,2025-04-23 12:33:25,2025-04-23 12:54:25,web,setup,ai_plus_human,1,0,21,3.2
conv_00007741,acct_00000159,usr_00003611,2025-04-24 20:56:44,2025-04-24 21:16:44,web,setup,ai,1,0,20,3.3
conv_00007766,acct_00000159,usr_00003622,2025-04-27 19:25:13,2025-04-27 22:23:13,email,bug,human,0,1,178,2.2
conv_00007748,acct_00000159,usr_00003617,2025-04-28 10:56:58,2025-04-28 12:13:58,email,api,human,0,0,77,3.1
conv_00007778,acct_00000159,usr_00003617,2025-04-29 09:40:24,2025-04-29 12:39:24,chat,bug,human,0,1,179,2.7
conv_00007742,acct_00000159,usr_00003617,2025-04-29 13:20:35,2025-04-29 14:12:35,chat,api,ai_plus_human,1,0,52,3.6
conv_00007728,acct_00000159,usr_00003619,2025-04-29 14:09:06,2025-04-29 15:01:06,email,api,ai_plus_human,1,0,52,3.5
conv_00007725,acct_00000159,usr_00003620,2025-04-30 08:38:51,2025-04-30 10:18:51,chat,api,ai_plus_human,1,1,100,2.6
